"camera","imgtype","zoom","exposure","gain","frame","lifter","timestamp","id","plantbarcode","treatment","cartag","measurementlabel","other","image","sample","Barcode","in_bounds","area","convex_hull_area","solidity","perimeter","width","height","longest_path","convex_hull_vertices","object_in_frame","ellipse_major_axis","ellipse_minor_axis","ellipse_angle","ellipse_eccentricity","Height"
6,"none","none","none","none","none","none","2023_09_15_11:56:31","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-6-2023_09_15_11:56:31.jpg",0,NA,"True",3789,3985.5,0.950696273993225,270.107645511627,71,82,635,23,"True",86.6234283447266,58.010196685791,37.0443916320801,0.74264749947569,NA
6,"none","none","none","none","none","none","2023_09_15_11:56:31","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-6-2023_09_15_11:56:31.jpg",1,NA,"True",1115,1109,1.00541027953111,131.882249832153,35,42,275,19,"True",41.1721496582031,33.4003982543945,166.323669433594,0.584716566041459,NA
6,"none","none","none","none","none","none","2023_09_15_11:56:31","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-6-2023_09_15_11:56:31.jpg",2,NA,"True",1534,1535,0.999348534201954,154.953317523003,46,45,332,21,"True",46.608455657959,42.1169471740723,71.7555084228516,0.428307213686194,NA
7,"none","none","none","none","none","none","2023_09_15_11:56:32","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-7-2023_09_15_11:56:32.jpg",0,NA,"True",3958,4016.5,0.985435080293788,252.936072587967,85,70,591,26,"True",79.3975830078125,64.2122802734375,78.2719650268555,0.588161481903843,NA
7,"none","none","none","none","none","none","2023_09_15_11:56:32","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-7-2023_09_15_11:56:32.jpg",1,NA,"True",4946,5026.5,0.983984880135283,284.936072587967,69,94,656,31,"True",95.6482620239258,65.1981811523438,165.145919799805,0.731682845445926,NA
7,"none","none","none","none","none","none","2023_09_15_11:56:32","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-7-2023_09_15_11:56:32.jpg",2,NA,"True",5120,5273.5,0.970892196833223,294.007140278816,92,75,655,26,"True",93.3717880249023,69.9383392333984,68.8983612060547,0.662535247728124,NA
8,"none","none","none","none","none","none","2023_09_15_11:56:33","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-8-2023_09_15_11:56:33.jpg",0,"000VG","True",1059,1257.5,0.842147117296223,200.852812290192,78,31,520,15,"True",75.0362548828125,20.607572555542,104.275726318359,0.961548586854713,0
8,"none","none","none","none","none","none","2023_09_15_11:56:33","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-8-2023_09_15_11:56:33.jpg",1,"000W2","True",2819,2841.5,0.99208164701742,214.450791358948,68,62,467,29,"True",64.6589431762695,55.2184028625488,66.5491180419922,0.520281499644198,0
8,"none","none","none","none","none","none","2023_09_15_11:56:33","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-8-2023_09_15_11:56:33.jpg",2,"000W8","True",1716,1745.5,0.983099398453165,170.124890446663,52,43,362,21,"True",52.6713027954102,42.3002243041992,86.8043670654297,0.595846799176997,0
5,"none","none","none","none","none","none","2023_09_15_11:56:39","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-5-2023_09_15_11:56:39.jpg",0,"000X0",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
